Algorithm,Log Source,Log,Complete-Window Size,Detection-Window Size,Stable Period,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case,P-Value,Min Adaptive Window,Max Adaptive Window,MRID,Epsilon,Window Size,SW Step Size,ADWIN Step Size
LCDD,AdditionalLogs,recurring_drift_07,800.0,800.0,100.0,[],"[500, 1000]",,,00:00:00,0.0118287000004784,7.885800000318947e-06,,,,,,,,
LCDD,AdditionalLogs,recurring_drift_09,100.0,100.0,100.0,"[108, 500, 1000]","[500, 1000]",0.8,0.0,00:00:00,0.0359468999959062,2.396459999727085e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_09,,,,"[546, 1010, 1658]","[500, 1000]",0.8,28.0,00:00:05,5.9698856999966665,0.0039799237999977,0.1,300.0,600.0,,,,,
LCDD,AdditionalLogs,recurring_drift_02,400.0,400.0,5.0,"[440, 841, 1258]","[500, 1000]",0.8,109.5,00:00:00,0.2113055000008898,0.0001408703333339,,,,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_05,,,,"[600, 1200]","[500, 1000]",1.0,150.0,00:00:00,0.2668641999989631,0.0001906172857135,0.1,400.0,500.0,,,,,
LCDD,AdditionalLogs,sudden_drift_00,300.0,300.0,10.0,"[502, 1000]","[500, 1000]",1.0,1.0,00:00:00,0.0147225000036996,9.815000002466452e-06,,,,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_04,,,,"[610, 1175]","[500, 1000]",1.0,142.5,00:00:06,6.271686199994292,0.0041811241333295,0.05,200.0,400.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_06,,,,[779],"[500, 1000]",,,00:00:38,38.63608760000352,0.0257573917333356,0.0001,100.0,700.0,,,,,
LCDD,AdditionalLogs,gradual_drift_00,600.0,600.0,5.0,[912],"[500, 1000]",0.6666666666666666,88.0,00:00:00,0.0172874000054434,1.2348142861031062e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_02,,,,"[751, 1501]","[500, 1000]",,,00:00:01,1.1522527999986778,0.0007681685333324,0.05,200.0,600.0,,,,,
LCDD,AdditionalLogs,sudden_drift_07,200.0,200.0,20.0,"[501, 913, 1324]","[500, 1000]",0.8,44.0,00:00:00,0.0130801000050269,8.720066670017939e-06,,,,,,,,
